Search Term,Event count,Active users
speckwürfel,123,89
trennfett,123,110
bacardi,122,99
erdbeer,122,53
happy day,122,82
mohn,121,104
rama,121,80
röstzwiebel,121,105
alufolie,120,94
bier,120,61
folie,120,89
salatmix,120,68
Gouda,119,87
Mayo,119,72
cornflakes,119,99
gasteiner,119,63
Senf,118,88
basmati,118,97
kabeljau,118,74
liptauer,118,88
löffel,118,51
küchenrolle,117,98
schwarzwurzel,117,97
economy,116,45
forelle,116,81
hummer,116,80
knorr,116,47
safran,116,89
carnella,115,87
besen,114,48
schüssel,114,52
Schnittlauch,113,82
glas,113,28
kohlsprossen,113,80
österkron,113,79
Räucherlachs,112,64
backpapier,112,100
campari,112,93
eiweiß,112,79
feigen,112,81
früchtetee,112,54
grissini,112,73
haselnüsse,112,93
java,112,64
mehl glatt,112,88
milka,112,74
preiselbeer,112,92
austern,111,77
Frischkäse,110,69
naturjoghurt,110,86
oregano,110,95
ricotta,110,81
vanilleeis,110,90
zwetschkenröster,110,77
Oliven,109,61
Olivenöl,109,77
gulasch,109,76
hühner,109,54
pfirsich,109,78
sonnenblumenöl,109,84
eifix,108,62
zuckersticks,108,89
Garnelen,107,55
burrata,107,70
kümmel,107,84
lillet,107,86
marille,107,73
tramezzini,107,87
liebstöckel,106,86
melone,106,70
Manner,105,56
gänseleber,105,79
hafermilch,105,87
holunder,105,80
kaiserschmarrn,105,67
müllsack,105,67
pesto,105,69
pfannen,105,43
Orangensaft,104,82
birne,104,75
couscous,104,86
filet,104,55
gelatine,104,79
heidelbeeren,104,81
kandisin,104,79
schwamm,104,60
stiegl,104,78
trüffelöl,104,79
frucade,103,74
hörnchen,103,79
Cola,102,67
puten,102,54
Messer,101,30
Nutella,101,72
Prosecco,101,45
ahornsirup,101,70
butterschmalz,101,79
leber,101,71
plunder,101,61
Zitronensaft,100,68
kohl,100,67
kohlrabi,100,78
marillen,100,67
tonic,100,79
torte,100,40
Haferflocken,99,69
Minze,99,74
mixsalat,99,48
Kaviar,98,62
Leberkäse,98,59
Wiberg,98,23
essiggurken,98,87
kristallzucker,98,80
quinoa,98,82
wasser,98,42
Kartoffeln,97,42
pudding,97,76
wasabi,97,72
Zucchini,96,65
weinkäse,96,51
ölz,96,54
pralinen,95,44
tabasco,95,81
aviko,94,50
bürste,94,33
hühnerkeule,94,61
jungzwiebel,94,66
nudel,94,46
shrimps,94,58
vakuum,94,73
blattspinat,93,75
dijon,93,77
hendl,93,56
knochen,93,57
pril,93,63
marzipan,92,66
püree,92,62
steinpilz,92,59
sweet chili,92,81
tortilla,92,59
Sauerkraut,91,75
Tomatenmark,91,78
brioche,91,57
hasenfit,91,66
melanzani,91,57
nüsse,91,58
sardellen,91,75
schupfnudeln,91,70
Obers,90,53
Teller,90,24
barilla,90,45
germknödel,90,64
landfrischkäse,90,59
mandarinen,90,74
rostbraten,90,55
Frischhaltefolie,89,67
Vöslauer,89,52
averna,89,80
besteck,89,25
jerome,89,41
saibling,89,67
spieße,89,58
Öl,89,59
Linsen,88,71
Salami,88,61
Speck,88,51
eierlikör,88,66
lattella,88,58
silvester,88,38
Burger,87,40
Obst,87,21
Pfeffer,87,50
Pizza,87,39
brunoise,87,65
fisolen,87,67
gartenland,87,58
gas,87,43
gorgonzola,87,72
kräuter,87,52
waffel,87,43
Apfelmus,86,66
Blätterteig,86,56
affineur,86,53
aufschnitt,86,37
papier,86,50
pizzamehl,86,47
rote rübe,86,63
wolfsbarsch,86,62
Essig,85,49
Feta,85,62
antipasti,85,44
felix,85,49
grießnockerl,85,72
karotte,85,63
mozarella,85,64
schokosauce,85,68
schweinefilet,85,60
sprite,85,64
strudel,85,59
wacholder,85,73
Basilikum,84,71
Petersilie,84,62
buffet,84,13
h-milch,84,63
mehl griffig,84,67
moet,84,54
soletti,84,68
Apfel,83,51
absolut,83,63
muscheln,83,43
nöm,83,44
paprika mix,83,54
pfanner,83,49
schafkäse,83,62
sesamöl,83,69
Kren,82,68
Sellerie,82,69
frischhalte,82,60
grieß,82,64
haubis,82,41
spritzbeutel,82,52
trinkhalm,82,48
vodka,82,50
weihnachten,82,31
Ananas,81,58
Huhn,81,29
Kichererbsen,81,60
Knödelbrot,81,70
baileys,81,76
flasche,81,31
tilsiter,81,53
Tee,80,31
cherrytomaten,80,56
hering,80,55
kaffeeobers,80,66
nuggets,80,51
seesaibling,80,57
tortellini,80,57
Kakao,79,62
Rind,79,31
fruchtcocktail,79,54
langos,79,53
meeresfrüchte,79,40
pinienkerne,79,69
servietten ,79,26
sorbet,79,55
vogerl,79,54
wettex,79,55
zweigelt,79,26
Bananen,78,49
Brot,78,33
Sirup,78,38
Tafelöl,78,57
cashew,78,66
cola zero,78,65
getrocknete tomaten,78,62
mayonaise,78,64
pago,78,62
rinderfilet,78,64
salomon,78,49
Gin,77,39
Kürbis,77,53
banane,77,49
brechbohnen,77,49
brennpaste,77,64
chilli,77,58
kernöl,77,67
sauce,77,34
Aperol,76,57
Kalb,76,34
Mandeln,76,49
Preiselbeeren,76,61
Red Bull zero,76,59
Rucola,76,54
Vollei,76,47
burratina,76,51
caputo,76,41
corny,76,61
hefe,76,61
jourgebäck,76,44
kürbiskernöl,76,63
lamm,76,49
muskatnuss,76,70
putenschnitzel,76,57
Römerquelle,75,50
Spinat,75,53
Toastbrot,75,55
dressing,75,48
efko,75,54
gemüse tk,75,32
suppennudeln,75,51
waldquelle,75,53
Apfelsaft,74,59
Kapern,74,58
Kuchen,74,30
bulgur,74,65
granatapfel,74,57
havana,74,60
krautsalat,74,54
radieschen,74,57
teelichter,74,60
Brie,73,49
Mango,73,48
Pistazien,73,54
Staubzucker,73,67
cherry tomaten,73,43
croutons,73,48
etiketten,73,31
knacker,73,47
sherry,73,43
spekulatius,73,50
Balsamico,72,49
Eigelb,72,47
Gemüse,72,31
Handschuhe,72,53
Müsli,72,32
cornichons,72,42
duni,72,27
laktosefrei,72,50
miso,72,60
rohrzucker,72,59
toastschinken,72,49
Emmentaler,71,52
