Search Term,Event count,Total users,Event count per active user,Total revenue
Joghurt,64,26,2.4615384615384600,0
Lauch,64,48,1.3333333333333300,0
emmi,64,23,2.782608695652170,0
philadelphia,64,47,1.3617021276595700,0
physalis,64,42,1.5238095238095200,0
äpfel,64,33,1.9393939393939400,0
glutenfrei,63,34,1.8529411764705900,0
Knoblauch,62,37,1.6756756756756800,0
hefe,61,44,1.3863636363636400,0
Zitronen,60,36,1.6666666666666700,0
frischkäse,60,38,1.5789473684210500,0
fruchtsalat,60,37,1.6216216216216200,0
pizza,60,21,2.857142857142860,0
salat mix,60,27,2.2222222222222200,0
sauerrahm,60,47,1.2765957446808500,0
stangensellerie,60,44,1.3636363636363600,0
Blattsalat,59,24,2.4583333333333300,0
Kürbis,59,29,2.0344827586206900,0
beleaf,59,34,1.7352941176470600,0
granatapfel,59,51,1.1568627450980400,0
Butter,58,30,1.9333333333333300,0
Pfälzer,58,26,2.230769230769230,0
parmesan,58,42,1.380952380952380,0
chili,57,33,1.7272727272727300,0
eisbergsalat,57,31,1.8387096774193500,0
maison,57,26,2.1923076923076900,0
sauerkraut,57,46,1.2391304347826100,0
tomate,57,37,1.5405405405405400,0
Ananas,56,35,1.6,0
zucker,56,37,1.5135135135135100,0
süsskartoffeln,55,44,1.25,0
spätzli,54,40,1.35,0
Basilikum,52,34,1.5294117647058800,0
pak choi,52,41,1.2682926829268300,0
schinken,52,34,1.5294117647058800,0
trüffel,52,34,1.5294117647058800,0
Rosmarin,51,31,1.6451612903225800,0
Trauben,51,30,1.7,0
blüten,51,20,2.55,0
dessert,51,15,3.4,0
kuchen,51,22,2.3181818181818200,0
shiitake,51,33,1.5454545454545500,0
Fenchel,50,39,1.2820512820512800,0
blaubeeren,50,26,1.9230769230769200,0
brüsseler,50,36,1.3888888888888900,0
gemüsemischung,50,22,2.272727272727270,0
hug,50,24,2.0833333333333300,0
magerquark,50,41,1.2195121951219500,0
poulet,50,27,1.8518518518518500,0
Blätterteig,49,32,1.53125,0
Champignons,49,36,1.3611111111111100,0
krat,49,1,49,0
mandarine,49,33,1.4848484848484800,0
ratatouille,49,33,1.4848484848484800,0
ricotta,49,38,1.2894736842105300,0
Vollrahm,48,32,1.5,0
chinakohl,48,39,1.2307692307692300,0
kartoffelscheiben,48,14,3.4285714285714300,0
kräuter,48,20,2.4,0
schalotten,48,37,1.2972972972973000,0
agria,47,29,1.6206896551724100,0
asia,47,24,1.9583333333333300,0
käppeli,47,6,7.833333333333330,0
sbrinz,47,35,1.3428571428571400,0
burrata,46,26,1.7692307692307700,0
pinsa,46,23,2,0
steinpilze,46,25,1.84,0
Kohlrabi,45,28,1.6071428571428600,0
julienne,45,29,1.5517241379310300,0
karotten ,45,22,2.0454545454545500,0
kroketten,45,29,1.5517241379310300,0
mungo,45,29,1.5517241379310300,0
ravioli,45,34,1.3235294117647100,0
rotkraut,45,31,1.4516129032258100,0
vanille,45,27,1.6666666666666700,0
wirsing,45,29,1.5517241379310300,0
Fruchtsalat,44,22,2,0
Mandarinen,44,27,1.6296296296296300,0
